1965-01-01,-274.0
1965-02-01,-197.0
1965-03-01,276.0
1965-04-01,545.0
1965-05-01,830.0
1965-06-01,194.0
1965-07-01,746.0
1965-08-01,-453.0
1965-09-01,673.0
1965-10-01,173.0
1965-11-01,1074.0
1965-12-01,1045.0
1966-01-01,572.0
1966-02-01,531.0
1966-03-01,1016.0
1966-04-01,257.0
1966-05-01,161.0
1966-06-01,756.0
1966-07-01,232.0
1966-08-01,-186.0
1966-09-01,-67.0
1966-10-01,737.0
1966-11-01,776.0
1966-12-01,897.0
1967-01-01,2262.0
1967-02-01,82.0
1967-03-01,-329.0
1967-04-01,991.0
1967-05-01,583.0
1967-06-01,553.0
1967-07-01,403.0
1967-08-01,70.0
1967-09-01,1211.0
1967-10-01,217.0
1967-11-01,700.0
1967-12-01,1397.0
1968-01-01,-1742.0
1968-02-01,1204.0
1968-03-01,436.0
1968-04-01,-393.0
1968-05-01,127.0
1968-06-01,214.0
1968-07-01,302.0
1968-08-01,80.0
1968-09-01,309.0
1968-10-01,1494.0
1968-11-01,1544.0
1968-12-01,680.0
1969-01-01,383.0
1969-02-01,-335.0
1969-03-01,356.0
1969-04-01,155.0
1969-05-01,321.0
1969-06-01,-76.0
1969-07-01,-442.0
1969-08-01,98.0
1969-09-01,174.0
1969-10-01,-50.0
1969-11-01,945.0
1969-12-01,2585.0
1970-01-01,-1377.0
1970-02-01,-1058.0
1970-03-01,-1140.0
1970-04-01,-536.0
1970-05-01,-2041.0
1970-06-01,-691.0
1970-07-01,694.0
1970-08-01,-83.0
1970-09-01,-1.0
1970-10-01,-448.0
1970-11-01,-961.0
1970-12-01,-840.0
1971-01-01,1295.0
1971-02-01,263.0
1971-03-01,916.0
1971-04-01,936.0
1971-05-01,2083.0
1971-06-01,888.0
1971-07-01,416.0
1971-08-01,-79.0
1971-09-01,730.0
